0,SansText,I'm going to touch you,,,,,,,
0,SansText,You're not going to stop              touching me are you????,,,,,,
0,SansText,Okay so I'll just...,,,,,,,
0,SansHead,Default,,,,,,,
0,SansText,goon on you...,,,,,,,
0,SansAnimation,Tired,,,,,,,
0,SansHead,EyesClosed,,,,,,,
0,SansHead,NoEyes,,,,,,,
0,CombatZoneResize,133,201,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,sanshead,Default,,,,,,,
0,BoneStab,1,40,0.4,999,,,,
0,PlatformRepeat,508,331,50,2,100,35,100,
0,BoneStab,3,20,0.4,999,,,,
0,PlatformRepeat,133,273,50,0,100,35,100,
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.54,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0.8,GasterBlaster,1,0,0,133,$HeartY,0,0.64,0.2
0,GasterBlaster,1,0,0,508,$HeartY,180,0.49,0.2
2.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,351,90,1.4,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
1.2,GasterBlaster,1,310,220,133,$HeartY,0,0.4,0.2
0,GasterBlaster,1,310,220,508,$HeartY,180,0.4,0.2
0.09,GasterBlaster,0,133,0,153,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,173,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,193,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,213,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,233,151,90,0.1,0.4
2.5,GetHeartPos,HeartX,HeartY,,,,,,
1.4,GasterBlaster,1,0,0,$HeartX,151,90,2.4,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,133,$HeartY,0,0.46,0.2
0,GasterBlaster,1,0,0,508,$HeartY,180,0.94,0.2
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.49,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,133,$HeartY,0,2.4,0.2
0,GasterBlaster,1,0,0,508,$HeartY,180,1.4,0.2
2.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,351,90,0.48,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,310,220,133,$HeartY,0,0.4,0.2
0,GasterBlaster,1,310,220,508,$HeartY,180,0.4,0.2
0.09,GasterBlaster,0,133,0,153,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,173,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,193,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,213,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,233,151,90,0.1,0.4
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.4,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,133,$HeartY,0,0.4,0.2
0,GasterBlaster,1,0,0,508,$HeartY,180,0.4,0.2
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,151,90,0.4,0.2
0,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,133,$HeartY,0,0.4,0.2
0,GasterBlaster,1,0,0,508,$HeartY,180,0.4,0.2
1,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,1,0,0,$HeartX,351,90,0.4,0.2
9.5,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.6666,BlackScreen,0,,,,,,,
0,CombatZoneResize,113,231,548,391,TLResume,,
0.2,BoneStab,3,25,2.1,99,,,
0,SansBody,HandDown,,,,,
0.3,BoneStab,1,35,2.1,99,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,376,,,,,
0,HeartMaxFallSpeed,160,,,
0,SansBody,handleft,,
0,SansSlam,2,,
0,sound,slam,,
0,SansAnimation,tired,,
0,Sound,Flash,,,,,,,
0,sound,ding,2,,,,,,
0.9,BoneVRepeat,283,267,40,3,190,70,55
0.9,BoneVRepeat,363,331,40,1,120,70,65
0.9,BoneVRepeat,443,248,40,3,90,70,85
0,SansBody,handright,,
1.2,SansSlam,0,,
0,Sound,slam,,
0,GasterBlaster,1,0,0,191,306,0,0.3,0.1
0,SansBody,handleft,,
1.9,SansSlam,2,,
1,GasterBlaster,1,400,430,160,300,1.7,0.3
0.3,SansSlam,0,,
0,GasterBlaster,1,,0,40,290,20,1.7,0.3
0.09,GasterBlaster,0,133,0,153,151,90,2.1,0.4
0.09,GasterBlaster,0,133,0,173,151,90,2.1,0.4
0.2,HeartFallMaxSpeed,250,,
1.5,SansSlam,2,,
0,SansBody,handleft,,,
0,sound,slam,,
0,sound,ding,,
0,SansBody,handright,,
0.4,SansSlam,0,,
1.2,SansBody,handleft,,
0,SansSlam,2,,
0.1,HeartFallMaxSpeed,450,,
0.09,GasterBlaster,0,133,0,193,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,213,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,233,151,90,0.1,0.4
0,SansBody,handright,,
0.2,SansSlam,0,,
0.5,SansBody,handleft,,
0.1,SansSlam,2,,
0.2,HeartFallMaxSpeed,560,,
0,sound,warning,,
0,SansBody,handright,,
0.3,SansSlam,0,,
0.4,SansBody,handleft,,
0,SansSlam,2,,
0.2,SansHead,blueeye,,,
0.3,HeartFallMaxSpeed,720,,,
0.1,SansBody,handright
0,SansSlam,0,,
0.1,SansBody,handleft,,
0.09,GasterBlaster,0,133,0,193,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,213,151,90,0.1,0.4
0.09,GasterBlaster,0,133,0,233,151,90,0.1,0.4
0,GasterBlaster,1,,0,40,290,20,1.7,0.3
0.09,GasterBlaster,0,133,0,153,151,90,2.1,0.4
0.09,GasterBlaster,0,133,0,173,151,90,2.1,0.4
0,SansBody,HandRight,,
0.1,SansSlam,2,,
0.4,SansAnimation,Idle,,,,,,,
20.9,EndAttack,,,,,,,,
